epoch,train_acc,valid_acc
5,0.864,0.871
10,0.881,0.883
15,0.889,0.889
20,0.901,0.899
25,0.907,0.91
30,0.909,0.911
35,0.912,0.911
40,0.911,0.913
45,0.916,0.918
50,0.92,0.924
55,0.924,0.931
60,0.931,0.937
65,0.927,0.927
70,0.934,0.938
75,0.936,0.941
80,0.938,0.937
85,0.944,0.943
90,0.937,0.933
95,0.944,0.945
100,0.944,0.943
105,0.945,0.948
