epoch,train_acc,valid_acc
5,0.863,0.868
10,0.876,0.87
15,0.885,0.881
20,0.897,0.883
25,0.905,0.906
30,0.911,0.903
35,0.916,0.911
40,0.919,0.917
45,0.925,0.923
50,0.933,0.931
55,0.938,0.934
60,0.941,0.946
65,0.944,0.943
70,0.952,0.945
75,0.952,0.953
80,0.957,0.954
85,0.956,0.954
90,0.96,0.954
95,0.962,0.956
100,0.966,0.961
105,0.967,0.955
